path,label,split
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1762_augmented_image_728.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_356_IMG_20230811_164408.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_85_IMG_20230923_101512.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_106_IMG_20230923_100915.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4939_IMG_20230805_185427.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_72_IMG_20230923_100559.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_237_20230818_114827.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_43_20230811_211442.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_339_augmented_image_100.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_172_20230811_211246.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_325_IMG_20230923_105420.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_706_augmented_image_292.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_1041_augmented_image_703.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_427_20230818_115223.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1716_augmented_image_313.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_408_IMG_20230811_173130.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4651_IMG_20230814_180705.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_637_augmented_image_910.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_618_augmented_image_622.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_464_augmented_image_771.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_844_augmented_image_833.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_331_IMG_20230811_165310.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_437_IMG_20230923_101052.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4864_IMG_20230811_173137.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_171_augmented_image_508.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_922_augmented_image_154.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_327_IMG_20230814_204321.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_15_20230811_211217.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_409_augmented_image_647.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1786_augmented_image_361.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_507_augmented_image_720.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_614_augmented_image_341.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_238_IMG_20230814_203242.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_293_IMG_20230814_174954.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_919_augmented_image_665.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_248_IMG_20230811_164431.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_103_IMG_20230923_111901.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_62_augmented_image_245.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_421_IMG_20230923_102840.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_73_IMG_20230814_180629.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_262_IMG_20230923_111939.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_36_20230811_211426.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_45_augmented_image_762.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_284_20230818_115214.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_271_augmented_image_382.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_31_IMG_20230923_105806.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_881_augmented_image_540.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_281_IMG_20230923_112226.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4623_IMG_20230811_173141.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_37_augmented_image_617.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_879_augmented_image_307.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_4756_IMG_20230811_163824.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1406_augmented_image_336.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_430_IMG_20230923_100858.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_216_IMG_20230805_183105.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_582_augmented_image_428.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_92_20230811_211438(0).jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1175_augmented_image_706.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_330_IMG_20230811_170356_1.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_145_augmented_image_741.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_832_augmented_image_962.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_146_augmented_image_680.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_398_20230818_115110.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_124_IMG_20230923_101432.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_373_augmented_image_566.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_316_IMG_20230814_203124.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_59_IMG_20230811_170215.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_51_IMG_20230923_105505.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1860_augmented_image_22.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_181_augmented_image_269.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_413_IMG_20230811_165446.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_393_augmented_image_554.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1670_augmented_image_252.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_578_augmented_image_398.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1861_augmented_image_867.jpg,water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/non_water_hyacinth/_0_IMG_20230923_105929.jpg,non_water_hyacinth,train
/content/water_hyacinth_project/dataset/classification/water_hyacinth/_1603_augmented_image_323.jpg,water_hyacinth,train
